VERTEX = 146
0.0 0.0 0.0
49.6148 0.0 0.0
47.9243 0.0 12.8413
42.9677 0.0 24.8074
35.083 0.0 35.083
24.8074 0.0 42.9677
12.8413 0.0 47.9243
3.74582e-006 0.0 49.6148
-12.8413 0.0 47.9243
-24.8074 0.0 42.9677
-35.083 0.0 35.083
-42.9677 0.0 24.8074
-47.9243 0.0 12.8413
-49.6148 0.0 1.93207e-005
-47.9243 0.0 -12.8412
-42.9677 0.0 -24.8074
-35.083 0.0 -35.083
-24.8074 0.0 -42.9677
-12.8413 0.0 -47.9243
-2.30666e-005 0.0 -49.6148
12.8412 0.0 -47.9243
24.8074 0.0 -42.9677
35.083 0.0 -35.083
42.9677 0.0 -24.8075
47.9243 0.0 -12.8413
42.6608 11.9213 0.0
41.2071 11.9213 11.0414
36.9453 11.9213 21.3304
30.1657 11.9213 30.1657
21.3304 11.9213 36.9453
11.0414 11.9213 41.2071
3.2208e-006 11.9213 42.6608
-11.0414 11.9213 41.2071
-21.3304 11.9213 36.9453
-30.1657 11.9213 30.1657
-36.9453 11.9213 21.3304
-41.2071 11.9213 11.0414
-42.6608 11.9213 1.66127e-005
-41.2071 11.9213 -11.0414
-36.9453 11.9213 -21.3304
-30.1657 11.9213 -30.1657
-21.3304 11.9213 -36.9453
-11.0414 11.9213 -41.2071
-1.98335e-005 11.9213 -42.6608
11.0414 11.9213 -41.2071
21.3304 11.9213 -36.9453
30.1657 11.9213 -30.1657
36.9453 11.9213 -21.3304
41.2071 11.9213 -11.0414
35.7067 23.8426 0.0
34.49 23.8426 9.24157
30.9229 23.8426 17.8533
25.2484 23.8426 25.2484
17.8533 23.8426 30.9229
9.24157 23.8426 34.49
2.69578e-006 23.8426 35.7067
-9.24157 23.8426 34.49
-17.8533 23.8426 30.9229
-25.2484 23.8426 25.2484
-30.9229 23.8426 17.8534
-34.49 23.8426 9.24158
-35.7067 23.8426 1.39047e-005
-34.49 23.8426 -9.24155
-30.9229 23.8426 -17.8533
-25.2485 23.8426 -25.2484
-17.8534 23.8426 -30.9229
-9.24158 23.8426 -34.49
-1.66005e-005 23.8426 -35.7067
9.24155 23.8426 -34.49
17.8533 23.8426 -30.9229
25.2484 23.8426 -25.2485
30.9229 23.8426 -17.8534
34.49 23.8426 -9.2416
28.7526 35.7638 0.0
27.7729 35.7638 7.44172
24.9005 35.7638 14.3763
20.3312 35.7638 20.3312
14.3763 35.7638 24.9005
7.44172 35.7638 27.7729
2.17076e-006 35.7638 28.7526
-7.44172 35.7638 27.7729
-14.3763 35.7638 24.9005
-20.3312 35.7638 20.3312
-24.9005 35.7638 14.3763
-27.7729 35.7638 7.44173
-28.7526 35.7638 1.11967e-005
-27.7729 35.7638 -7.44171
-24.9005 35.7638 -14.3763
-20.3312 35.7638 -20.3312
-14.3763 35.7638 -24.9005
-7.44173 35.7638 -27.7729
-1.33674e-005 35.7638 -28.7526
7.44171 35.7638 -27.7729
14.3763 35.7638 -24.9005
20.3312 35.7638 -20.3312
24.9005 35.7638 -14.3763
27.7729 35.7638 -7.44174
21.7985 47.6851 0.0
21.0558 47.6851 5.64187
18.8781 47.6851 10.8993
15.4139 47.6851 15.4139
10.8993 47.6851 18.8781
5.64187 47.6851 21.0558
1.64574e-006 47.6851 21.7985
-5.64187 47.6851 21.0558
-10.8993 47.6851 18.8781
-15.4139 47.6851 15.4139
-18.8781 47.6851 10.8993
-21.0558 47.6851 5.64188
-21.7985 47.6851 8.48866e-006
-21.0558 47.6851 -5.64186
-18.8781 47.6851 -10.8993
-15.4139 47.6851 -15.4139
-10.8993 47.6851 -18.8781
-5.64188 47.6851 -21.0558
-1.01344e-005 47.6851 -21.7985
5.64186 47.6851 -21.0558
10.8993 47.6851 -18.8781
15.4139 47.6851 -15.4139
18.8781 47.6851 -10.8993
21.0558 47.6851 -5.64189
14.8444 59.6064 0.0
14.3386 59.6064 3.84203
12.8557 59.6064 7.42222
10.4966 59.6064 10.4966
7.42222 59.6064 12.8557
3.84203 59.6064 14.3386
1.12072e-006 59.6064 14.8444
-3.84202 59.6064 14.3386
-7.42222 59.6064 12.8557
-10.4966 59.6064 10.4966
-12.8557 59.6064 7.42223
-14.3386 59.6064 3.84203
-14.8444 59.6064 5.78064e-006
-14.3386 59.6064 -3.84202
-12.8557 59.6064 -7.42222
-10.4966 59.6064 -10.4966
-7.42223 59.6064 -12.8557
-3.84203 59.6064 -14.3386
-6.90136e-006 59.6064 -14.8444
3.84202 59.6064 -14.3386
7.42221 59.6064 -12.8557
10.4966 59.6064 -10.4966
